ts	phase	decision	why	evidence	result
2026-08-15T23:50:00+09:00	frame	did not start work, recorded a baseline snapshot and came back an hour later	the three agent branches all still pointed at c2cf9ed6, so anything read now would rest on a tree about to change	docs/plans/02-source-parity-acceptance/decision-log.md	3 worktrees, 0 commits, waited
2026-08-16T00:59:00+09:00	frame	found all three branches merged and their worktrees already removed	the merge and cleanup had happened while I waited, so my job became the verdict plus verification	git log c2cf9ed6..290a9138	28 commits ahead of main
2026-08-16T01:00:00+09:00	harness	threw away the first test run because I piped it through tail -80	the log kept only the last 80 lines and four baseline failure names were missing, which I briefly misread as not run	playbackcore-postmerge-20260816.log	re-ran with full output to a file
2026-08-16T01:01:46+09:00	review	compared the failure set against the 2026-08-15 baseline instead of the failure count	the baseline is nine named failures, and a count alone cannot tell a fix from a swap	playbackcore-postmerge-20260816.log	8 failures, all pre-existing, dvh1 hvcC test now passes
2026-08-16T01:05:00+09:00	review	accepted the Profile 5 fix	it corrects the flavor in the C bridge and deletes the Swift hvcC patch that was compensating for it	commit 66b69c78	cures one baseline failure
2026-08-16T01:08:00+09:00	review	accepted the HTTP change on reading, and noted it might also help the known Emby range defect	the pre-change first request was open-ended, which is the shape webdavfs mishandles	commit 95ec9bef	accepted pending runtime check, later reverted
2026-08-16T01:10:00+09:00	review	accepted the Profile 7 split after checking seek state, buffer ownership and NAL bounds	stale filter state across a seek is the usual bug here; every seek allocates a new reader so it cannot happen	commit 8e0d0ef1, VideoSampleProvider.swift:310	accepted, one out-of-scope error-path change flagged
2026-08-16T01:12:31+09:00	corpus	built an inventory that reads the Dolby Vision profile from ffprobe instead of Emby	Emby reports a coarse VideoRange and leaves its Dv fields empty, so the profile is not available from the server	Scripts/verification/inventory_dynamic_range_corpus.py, dr-corpus-20260816.json	54 non-SDR items, 8 labelled Profile 7
2026-08-16T01:25:00+09:00	harness	discarded my first measurement because it gave the same numbers before and after the merge	it only counted demuxed samples, and the bridge never hands anything to VideoToolbox, which is what the Profile 7 claim is about	Tools/RemoteMediaProbe/main.swift	added a VideoToolbox decode stage
2026-08-16T01:35:00+09:00	harness	named sample bytes as the field that must move before running the comparison	so the result could falsify the split rather than merely agree with it	commit a03d592b	P7 fixture 7,506,347 to 5,499,605; P5 and P8.1 unchanged
