ts	phase	decision	why	evidence	result
2026-08-21T10:51:55Z	harness	built a rerunnable check for dead paths in instructions before fixing any of them	hand-fixing 56 references proves nothing a reviewer can re-run	Scripts/verification/verify_documentation_references.py	56 failures at baseline
2026-08-21T10:53:23Z	subtract	deleted 13.3 GB of evidence and build caches, salvaged six markdown reports into the archive	the reports carry their own coordinates so the recordings added nothing	commit 86354c4	14.8G to 1.5G, pack 1.23GiB to 400MiB
2026-08-21T10:58:40Z	artifact-root	derived both artifact roots from the checkout instead of an absolute path beside it	the external root was already deleted and fifteen scripts still defaulted to it	commit e4ec90b	151 verification tests pass, repo 14G to 1.0G
2026-08-21T11:02:51Z	references	answered retired document names from a registry instead of rewriting decision records	an ADR records what was true when written; the name has to keep resolving	Config/retired_documents.json	56 failures down to 13
2026-08-21T11:02:51Z	ci	restored the pruned CI worktree and made both workflows rebuild it	every push has failed at step one since an earlier cleanup deleted it	.github/workflows/verification-quick.yml	worktree restored, 71M
2026-08-21T12:00:06Z	build	took the undeclared PlaybackCore scan out of the Xcode script phase	script sandboxing denied the read so every Xcode build failed before compiling	commit 39c5a03	build reaches the compiler
2026-08-21T12:00:06Z	model	mirrored the presentation model once in Python and derived both device tables from it	two scripts had written the landings out as literals and both drifted off the product	commit 8e2bb58	gates fail on the original drift, then pass
2026-08-21T12:00:06Z	matrix	deleted the borrowed docked verdict rather than restoring the file it read	a missing evidence file was being reported as a product reachability regression	commit 9b27e2d	docked measured like the other cells
2026-08-21T12:00:06Z	guard	held the CoreMedia avcC constraint with a test after breaking the dispatch to see it red	the ownership check passes with the H.264 branch deleted, and F2 converges those branches	commit 8b3cf4f	6 issues when broken, green restored
2026-08-21T12:00:06Z	guard	synthesized the recording check's two samples instead of restoring pruned device files	neither had to be that particular file, and the trap still fails if synthesis stops misparsing	commit 06b71f6	verified by admitting tty as a movie container
2026-08-21T12:00:06Z	close	reference check reached zero	56 dangling instructions at baseline	Scripts/verification/verify_documentation_references.py	0 failures, 29 history references unenforced
