id	status	policy	applicability	evidence	requiredWork
HC-000	decided	The complete reviewed Catalog is authoritative after all HC decisions and their product fixes are incorporated. The target contains 65 independently covered Promises and Scenarios.	Catalog design and review only; it does not permit runtime semantic changes.	["Regression/README.md#权威目录","Scripts/regression/core/review_catalog.py"]	["regenerate-v2-catalog","reissue-content-bound-reviews"]
HC-001	decided	Drive the real Files and Photos system pickers. Preauthorize persistent system permissions before an unattended run; a missing grant is a typed infrastructure interruption, never a product verdict or human prompt.	Files, Photos, local-network, hand-input, and world-sensing authorization at lane bootstrap.	["Modules/MediaLibrary/Views/FilesScreen.swift#requestProductEntry","Config/Enchron-Info.plist",".agents/skills/vp-e2e/references/device.md#首次安装顺序"]	["implement-photos-picker","permission-state-producer"]
HC-002	decided	HDR10, HLG, and Dolby Vision acceptance uses exact metadata plus same-attempt project-generated positive and stripped-transfer negative references. Personal brightness, saturation, and aesthetic preference are outside automated coverage.	Visual dynamic-range obligations; invalid reference self-check makes the Oracle Indeterminate.	["Tests/Fixtures/fixture-registry.json#acceptanceCriteriaDefinitions",".agents/skills/vp-e2e/features/picture-interpretation.md"]	["generate-stripped-transfer-controls"]
HC-003	decided	Automated audio coverage includes measurable delivery, mute, renderer, discontinuity, overrun, channel-activity, codec, and synchronization facts. Subjective sound quality and post-render head-pose spatial perception are excluded.	App-observable audio output before system spatialization.	["Apps/Enchron/EnchronApp.swift#AcousticMixerTapEnvelope","Modules/Playback/PlaybackAudioSession.swift"]	["acoustic-envelope-readback"]
HC-004	decided	Transition acceptance uses the typed transition ring, platform lifecycle deadlines, rollback state, and non-solid non-frozen frame sequences. Subjective comfort and abruptness are excluded.	Window, Portal, Docked, Panorama, and immersive transition attempts.	["Modules/Playback/Platform/SpatialPlatformEffectExecutor.swift","docs/PLAYBACK_PRESENTATION_CONSTRAINTS.md"]	[]
HC-005	decided	Simulator Device Hub gaze-and-pinch plus ordered app-side spatialTap and toggle facts proves the product input pipeline. The missing physical-device actuator does not block automated coverage and subjective feel is excluded.	Simulator spatial-input lane only; device decode obligations remain independent.	[".agents/skills/vp-e2e/references/simulator.md#空间手势：Device Hub 的鼠标映射","Modules/Playback/Scenes/ImmersiveSpaceView.swift#spatialTap"]	[]
HC-006	decided	Use project-generated, acceptance-eligible 3840x2160 equirectangular 180-degree mono and stereo fixtures plus a same-resolution flat negative control. Geometry and eye separation are exact-field comparisons; comfort is excluded.	Projection and stereo corpus for 180-degree cases.	["Tests/Fixtures/fixture-registry.json","Modules/Playback/Domain/MediaFormat.swift#PanoramaHorizontalCoverage"]	["generate-180-mono-stereo-flat-controls","verify-projection-signaling"]
HC-007	decided	Dolby Vision profiles 10 and 20 remain included. Supply them in an admitted MP4 or MKV form; do not add DASH or HLS solely for fixture reachability and do not drop the profiles.	Dolby Vision profile matrix on fixtures with acceptable provenance.	["Modules/MediaLibrary/Model/MediaBrowsing.swift#MediaDiscoveryAdmissionPolicy","Modules/Playback/Model/MediaProfile.swift#DolbyVision"]	["remux-and-register-dv10-dv20"]
HC-008	decided	Add an independent format-support Promise: unsupported codecs and unavailable decoders are identified before playback and produce typed, codec-specific guidance.	Graceful rejection; it cannot substitute for successful playback coverage.	["Modules/Playback/Domain/PlaybackUserVisibleIssue.swift#PlaybackUnsupportedVideoCodec"]	["add-format-support-promise-scenario","issue-surface-producer","vc1-mpeg2-fixtures"]
HC-009	decided	Add an independent issue-surface Promise. Every category has fixed title, actions, placement, and interruption policy; the product intentionally has one visible issue slot and a new issue replaces the previous issue.	User-visible issue policy, not an issue queue.	["Modules/Playback/Domain/PlaybackUserVisibleIssue.swift#policy","Modules/Playback/PlaybackRuntime.swift#userVisibleIssue"]	["add-issue-surface-promise-scenario","issue-surface-producer"]
HC-010	decided	A first open with no stored track preference starts with subtitles Off. Only an explicit stored preference or user selection may choose a track.	Subtitle selection on media-session open.	["Packages/PlaybackCore/Sources/PlaybackCore/SampleBufferPlaybackSession.swift#selectedTrackID"]	[]
HC-011	decided	A source-declared panoramic format first settles in Portal. Panorama requires an explicit public entry action; observing either outcome is not acceptable.	Clean first open and persisted format overrides.	["Apps/Enchron/EnchronApplication.swift#EffectiveMediaFormatPresentationResolver","Modules/Playback/Model/MediaProfile.swift#isPanoramic"]	["repair-parametric-and-apple-immersive-projection-routing"]
HC-012	decided	The closed loading vocabulary is none or loading. Opening and true playback starvation show Loading; a reconnect completely covered by buffered media never shows it.	Remote open, reconnect, and renderer-starvation windows.	["Apps/Enchron/MainView.swift#WindowPlaybackLoadingVisibility","Modules/Playback/PlaybackRuntime.swift#PresentationState"]	["publish-starvation-loading-state"]
HC-013	decided	Play Next under Ask Every Time does not interrupt continuous playback with a resume prompt. It continues from the stored position according to the queue action.	Automatic end-of-media Play Next only; a direct user open still honors Ask Every Time.	["Modules/Playback/PlaybackLaunchCoordinator.swift#handlePlaybackEnded"]	["bypass-resume-prompt-for-automatic-play-next","add-playback-queue-promise-scenario"]
HC-014	decided	Clear All Playback Progress clears viewing progress and completion only. Format, presentation-mode, and track preferences remain.	The Playback Progress settings action.	["Modules/Playback/Domain/MediaStateStore.swift#clearViewingStates"]	["add-preservation-criterion"]
HC-015	decided	Deleting a library folder removes the folder hierarchy but moves contained media references to the deleted root folder's parent. Original source files remain untouched.	Library-folder deletion; deleting a media reference remains a separate action.	["Modules/MediaLibrary/Model/MediaLibrary.swift#removeFolder","Config/regression/semantic-authority-decisions.tsv#HC-015"]	["change-folder-delete-to-parent-rehome","add-library-management-promise-scenario"]
HC-016	decided	Video format editing is available in Window and Portal only. Docked exposes placement controls instead, and Panorama exposes neither editor.	Playback panel settings hosts.	["Modules/Playback/Views/PlaybackPanel.swift#PlaybackPanelSettingsPolicy"]	[]
