ts	phase	decision	why	evidence	result
2026-08-12T10:26:29Z	frame	Treat the work as four evidence-linked units: control-toggle isolation, Panorama entry cleanup, main-window relayout, and a rerunnable recording check	These are the four requested deliverables and each ends in an observable check	user request; /Volumes/Cortisol/DevSpace/Xcode/Enchron/TestEvidence/transition-recording-20260812/	open
2026-08-12T10:26:29Z	frame	Use high rigor with real-device probes and frame-level luma analysis	The reported failures occur in wearer-visible transitions and a build cannot establish their absence	.agents/skills/visionpro-xcuitest/SKILL.md; user acceptance pipeline	open
2026-08-12T10:40:00Z	probe	Attribute the controls blackout to the full spatial surface update and repeated Panorama video entity reparent path	Every control visibility mutation scheduled a RealityView update and repeated remove/reset/add on the same bound entity; every event aligned with a YAVG under 18 segment	probe-run/probe-copy/surface-tap-probe.log lines 1124-1151; recording-01 at 235.358, 238.358, 242.392, 245.392, 274.025, and 282.057 seconds	accepted
2026-08-12T10:41:00Z	design	Separate control visibility from attachment Entity readiness and make Panorama insertion idempotent	Control opacity and hit testing belong to the Attachment SwiftUI subtree; pose availability belongs to the tracking controller; the video Entity should only be inserted when absent	source trace plus physical probe correlation	pending arena review
2026-08-12T11:02:00Z	design	Use the minimal attachment-local design and graft live topology repair plus revision-scoped window geometry requests	The arena judge found the smallest design preserved the resident-window and foreground-reconciliation contracts; identity checks retain self-healing without a new state machine	candidate A, B, and C designs; cross-judge scorecard	accepted
2026-08-12T11:13:00Z	probe	Configure and observe the Panorama video component before the entity first enters the RealityView	The first post-fix recording reproduced the fatal entry state: the only topology insertion logged componentBound=false, then rendering status and all requested modes settled while displayed pixels stayed false until stop	post-fix-run1 probe and recording: entry 14.648 seconds; black 15.400-38.132 seconds	accepted
2026-08-12T11:21:00Z	probe	Withdraw the shared Presenter idempotence experiment and retain the original component-commit semantics	Bound-before-insert, one activation reparent, and one video-component reassert each left pixels false; restoring only the shared Presenter behavior restored pixels, so that speculative cleanup was the regression source	post-fix-run2 through post-fix-run5 physical probe and frame reports	accepted
2026-08-12T11:27:00Z	prove	Accept attachment-local visibility plus idempotent Panorama topology	Four requested toggles and four automatic hides had no YAVG-under-18 span, and the only spatial video topology write occurred during entry before all control events	final-acceptance/flash-report.json; final-acceptance/surface-tap-probe.log lines 1327-1360	closed
2026-08-12T11:27:00Z	prove	Accept Panorama entry improvement on this device run	The entry black span measured 0.333 seconds, down from the reported 1.33-second baseline; renderer pixels settled during the entry and the permanent-black shape did not recur	final-acceptance recording and flash-report.json	closed
2026-08-12T11:27:00Z	design	Request the retained Main Window's current effective size for each Panorama-collapse refresh revision	UIKit documents requestGeometryUpdate and the Vision geometry preferences on visionOS; requesting the current size uses the existing revision as a compositor relayout kick without replacing the viewport handshake	Apple developer documentation and device SDK build	implemented; wearer Crown acceptance pending
2026-08-12T12:36:26Z	probe	Separate Panorama target readiness from final pixel settlement	The instrumented physical green path settled at surfaceOpacity=0.001, then visualCutover changed the target to 1.0 and the component animated through intermediate opacities; the three reported red paths reached the same non-pixel readiness but never produced displayed pixels, so they never entered this reveal chain	root-opacity-diagnostic-built-1/surface-tap-probe.log lines 1658-1697; my-acceptance/probe-stuck.log from 11:59:23; my-acceptance-2 from 12:02:08; my-acceptance-postreboot2 from 12:12:08	accepted
2026-08-12T12:48:00Z	isolation	Reject attachment tracking-loss and Portal geometry as direct Panorama opacity causes; retain queue-latest	Tracking-loss mutates only the controls Attachment; Portal geometry is on the Panorama-to-Portal path; queue-latest can preserve already-submitted updates but cannot cause renderer pixels to remain nil before cutover	production ownership trace, cb63b07 diff, two independent history traces	accepted
2026-08-12T13:10:00Z	test	Specify a Portal-to-Panorama reveal latch that requires every non-pixel settlement fact and scopes admission to transition, technical session, component revision, and entity	The reported permanent-black state satisfies every non-pixel fact while the target remains at preparation opacity; the full identity prevents a stale reveal from crossing replacement surfaces	PlaybackPresentationStateTests failing-before build: missing SpatialPresentationReadiness, PortalToPanoramaRevealTarget, and PortalToPanoramaTargetRevealState	red
2026-08-12T13:14:35Z	implement	Reveal only the current ready target to obtain pixel proof, while preserving displayed-pixel settlement and the existing executor cutover	This breaks the 0.001-opacity versus displayedPixelBuffer circular wait without weakening commit eligibility or changing runtime and executor semantics	physical build-for-testing exit 0; targeted PlaybackPresentationStateTests test-without-building exit 0	accepted
2026-08-12T13:29:14Z	prove	Do not claim the requested three consecutive physical passes	One complete final-code run passed entry, toggles, controls visibility, and stop; three later attempts were interrupted by CoreDevice tunnel and app-container file-channel failures, and the project fuse stops the same non-converging infrastructure claim after three rounds	final-acceptance-1 flash-report.json exit 0; final-acceptance-2 runner.log; final-consecutive-1 flash-report.json; final-consecutive-b1 runner.log	open: stable connected Vision Pro required
